Zone Name,Lat,Long,Distance,Unit,Band(2m;1.25m;70cm),Use,Operational Status
Longview Analog 35mi,46.13819885,-122.9380035,35,miles,2m;70cm,OPEN,On-Air
Astoria Analog 30mi,46.18790054,-123.8310013,30,miles,2m;70cm,OPEN,On-Air
Portland Analog 30mi,45.52310181,-122.6760025,30,miles,2m;70cm,OPEN,On-Air
Salem Analog 39mi,44.94290161,-123.0350037,39,miles,2m;70cm,OPEN,On-Air
Hood River Analog 35mi,45.70539856,-121.5210037,35,miles,2m;70cm,OPEN,On-Air
Olympia Analog 30mi,47.03789902,-122.901001,30,miles,2m;70cm,OPEN,On-Air
Packwood Analog 40mi,46.60649872,-121.6709976,40,miles,2m;70cm,OPEN,On-Air
Seattle Analog 45mi,47.60620117,-122.3320007,45,miles,2m;70cm,OPEN,On-Air
Burlington Analog 45mi,48.47570038,-122.324997,45,miles,2m;70cm,OPEN,On-Air
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
